都道府県,施設名,住所,place_id
東京,スターバックスコーヒー 三軒茶屋店,日本、〒154-0004 東京都世田谷区太子堂４丁目２０−２５ 海津ビル,ChIJ1dAWcp_0GGARdwHNRTKil3o
東京,スターバックスコーヒー 自由が丘駅前店,日本、〒152-0035 東京都目黒区自由が丘１丁目１１−６ うなぎほさか 1F,ChIJn2a3Cx_1GGARwZffEBRGeOU
東京,スターバックスコーヒー 自由が丘店,日本、〒152-0035 東京都目黒区自由が丘２丁目１０−１８ 栗山ビル 1F Ⅱ,ChIJO3J4OR71GGARPV2vV4be7qg
東京,スターバックスコーヒー 汐留シティセンター店,日本、〒105-7101 東京都港区東新橋１丁目５−２ 汐留シティセンタ,ChIJbUoVnMKLGGAReNRf_sOD41o
東京,スターバックスコーヒー 渋谷３丁目店,日本、〒150-0002 東京都渋谷区渋谷３丁目１１−７ 第２ミネギシビル,ChIJRUaw6FuLGGAR4wpGaxQZTFo
東京,スターバックスコーヒー 渋谷サクラステージ店,日本、〒150-0031 東京都渋谷区桜丘町１−４ 渋谷サクラステージ SHIBUYAサイド 3階,ChIJMRN2O_iLGGAROjrQ9HSUCPQ
東京,スターバックスコーヒー 渋谷ストリーム店,日本、〒150-0002 東京都渋谷区渋谷３丁目２１−３ 渋谷ストリーム,ChIJsaPFse6LGGARlvSetyaKuks
東京,スターバックスコーヒー 渋谷公園通り店,日本、〒150-0041 東京都渋谷区神南１丁目７−５ 渋谷公園通りＪＮビル 1F,ChIJxXehLq-MGGARX8s-7vTntXU
東京,スターバックスコーヒー 順天堂医院店,日本、〒113-8431 東京都文京区本郷３丁目１−３ 順天堂大学医学部附属 順天堂医院 1号館,ChIJ2WGN9heMGGARIpk8EbXf8b4
東京,スターバックスコーヒー 勝どき店,日本、〒104-0054 東京都中央区勝どき４丁目６−２ パークタワー勝どきミッド 1階,ChIJm3v7q2uJGGARSETA5awrZ38
東京,スターバックスコーヒー 新宿サザンテラス店,日本、〒151-0053 東京都渋谷区代々木２丁目２−１ 新宿サザンテラス 内,ChIJdbF81c-MGGAReLbuaGgXaXA
東京,スターバックスコーヒー 新宿サザンテラス店,日本、〒151-0053 東京都渋谷区代々木２丁目２−１ 新宿サザンテラス 内,ChIJdbF81c-MGGAReLbuaGgXaXA
東京,スターバックスコーヒー 新宿サブナード店,日本、〒160-0021 東京都新宿区歌舞伎町１丁目 新宿サブナード サブナード 1,ChIJiV2WZNeMGGARx97bZcqBqK0
東京,スターバックスコーヒー 新宿マインズタワー店,"新宿マインズタワー 1f, ２丁目-１-１ 代々木 渋谷区 東京都 151-0053 日本",ChIJyefU0dGMGGARyVfUCs0Gcyk
東京,スターバックスコーヒー 新宿ミロード5階店,日本、〒160-0023 東京都新宿区西新宿１丁目１−３ 新宿ミロード,ChIJ6TXZPWCNGGARysOHvQB6ugY
東京,スターバックスコーヒー 新宿御苑店,日本、〒160-0014 東京都新宿区内藤町１１ 新宿御苑,ChIJLblvi9uNGGARy-k9ouh8g80
東京,スターバックスコーヒー 新田町ビル店,日本、〒108-0014 東京都港区芝５丁目３４−６ 新田町ビル,ChIJ0-8hYj-LGGARkL10tLlvm24
東京,スターバックスコーヒー 神楽坂下店,日本、〒162-0825 東京都新宿区神楽坂１丁目９−２ 秀永ビル,ChIJ1xFDy0SMGGARkZmdp5f6C_Y
東京,スターバックスコーヒー 神田駅南口店,日本、〒101-0044 東京都千代田区鍛冶町２丁目１３−１ 南改札口外 JR 神田駅,ChIJNY3iR_uNGGARi77gZoGzSS0
東京,スターバックスコーヒー 神田小川町２丁目店,日本、〒101-0052 東京都千代田区神田小川町２丁目５−５ 紀陽東京ビル 1F,ChIJp5cOrBqMGGARMCiyzZVc7B8
