都道府県,施設名,住所,place_id
東京,中野区立鷺宮図書館,日本、〒165-0032 東京都中野区鷺宮３丁目２２−５ 鷺宮区民活動センター,ChIJ2WXXXZftGGAR6c34PJQ7KOs
東京,杉並区立阿佐谷図書館,日本、〒166-0001 東京都杉並区阿佐谷北３丁目３６−１４,ChIJkzUxaIztGGARslKd7MveWTs
東京,杉並区立高円寺図書館,日本、〒166-0003 東京都杉並区高円寺南２丁目３６−２５,ChIJQcYG3ovyGGARbOZRbEyXK_M
東京,杉並区立柿木図書館,日本、〒167-0023 東京都杉並区上井草１丁目６−１３ 区立柿木図書館,ChIJOVmc1d7tGGARgcU71VUPVrE
東京,杉並区立中央図書館,日本、〒167-0051 東京都杉並区荻窪３丁目４０−２３ 1F,ChIJB5neWgryGGAR72DR_8VUtqk
東京,杉並区立南荻窪図書館,日本、〒167-0052 東京都杉並区南荻窪１丁目１０−２,ChIJKXB5NQHyGGARCK1PlwSIBmY
東京,杉並区立方南図書館,日本、〒168-0062 東京都杉並区方南１丁目５１−２,ChIJa34xtgLzGGARzNYDKEIAtJw
東京,杉並区立高井戸図書館,日本、〒168-0072 東京都杉並区高井戸東１丁目２８−１,ChIJc2tLrj3yGGARRbnQZx0zcYI
東京,新宿区立中央図書館,日本、〒169-0072 東京都新宿区大久保３丁目１−１,ChIJxztNU0iNGGAR-WjkpTl4lf8
東京,新宿区立北新宿図書館,日本、〒169-0074 東京都新宿区北新宿３丁目２０−２,ChIJB6UHG83yGGARsU4-vst7i2Y
東京,豊島区立巣鴨図書館,日本、〒170-0002 東京都豊島区巣鴨３丁目８−２,ChIJD69Ylp2NGGAR3lwtzm7DnIc
東京,豊島区立駒込図書館,日本、〒170-0003 東京都豊島区駒込２丁目２−２,ChIJAZm6oJaNGGAR4mthy105q5c
東京,豊島区立上池袋図書館,日本、〒170-0012 東京都豊島区上池袋２丁目４５−１５,ChIJR8U0H2KNGGAR-m11kUJgVEE
東京,豊島区立中央図書館,日本、〒170-0013 東京都豊島区東池袋４丁目５−２ ライズアリーナビル 4･5階,ChIJhX7ig26NGGARoqSjzmX24rA
東京,豊島区立池袋図書館,日本、〒170-0014 東京都豊島区池袋３丁目２９−１０,ChIJCdpiT6eSGGARoV1yOJary80
東京,豊島区立目白図書館,日本、〒171-0031 東京都豊島区目白４丁目３１−８,ChIJ7Uc__lCNGGARIdg74pQo1Xo
東京,豊島区立千早図書館,日本、〒171-0044 東京都豊島区千早２丁目４４−２,ChIJ8-ObV1LtGGARTRHz75YLTNo
東京,板橋区公文書館,日本、〒173-0001 東京都板橋区本町２４−１,ChIJNSkU28OSGGARvotI0VWP-9I
東京,板橋区立小茂根図書館,日本、〒173-0037 東京都板橋区小茂根１丁目６−２,ChIJ4T4hKjjtGGAROBPgH9iI6hE
東京,板橋区立蓮根図書館,日本、〒174-0046 東京都板橋区蓮根３丁目１５−１ 都営蓮根三丁目アパート１号棟,ChIJ71FfvaTsGGAR4fc2AM3tOkA
東京,板橋区立志村図書館,日本、〒174-0051 東京都板橋区小豆沢１丁目８−１,ChIJq22_wCiTGGAR4iSXs3BAScE
東京,板橋区立清水図書館,日本、〒174-0055 東京都板橋区泉町１６−１６ 3階,ChIJ5_0y7tmSGGARanzaP3NOYjQ
東京,板橋区立中央図書館,日本、〒174-0071 東京都板橋区常盤台４丁目３−１,ChIJXU5mMdOSGGARzb08HTuPF74
東京,板橋区立高島平図書館,日本、〒175-0082 東京都板橋区高島平３丁目１３−１,ChIJ01fN4YLsGGARjnp78G-5050
東京,板橋区立赤塚図書館,日本、〒175-0092 東京都板橋区赤塚６丁目３８−１,ChIJxb9k43vsGGAR_tBNTA8hEoE
東京,板橋区立成増図書館,日本、〒175-0094 東京都板橋区成増３丁目１３−１ アリエス3F,ChIJhygdf3XsGGARjJMabwfRU88
東京,練馬区立小竹図書館,日本、〒176-0004 東京都練馬区小竹町２丁目４３−１,ChIJHcBfrDjtGGAREPp6YKvq2uU
東京,練馬区立練馬図書館,日本、〒176-0012 東京都練馬区豊玉北６丁目８−１,ChIJ2RhVXwrtGGAR5BvixRSULVk
東京,練馬区立関町図書館,日本、〒177-0053 東京都練馬区関町南３丁目１１−２,ChIJA-Cyc1juGGARr8uFIH1A9nw
東京,練馬区立大泉図書館,日本、〒178-0061 東京都練馬区大泉学園町２丁目２１−１７,ChIJByzo0sruGGARNn4yDTGMvi8
東京,練馬区立稲荷山図書館,日本、〒178-0062 東京都練馬区大泉町１丁目３−１８,ChIJvzdOAaruGGARLtEGiRo85QA
東京,練馬区立光が丘図書館,日本、〒179-0072 東京都練馬区光が丘４丁目１−５,ChIJ5-VuNWvsGGARxECtICpcwmw
東京,練馬区立春日町図書館,日本、〒179-0074 東京都練馬区春日町５丁目３１−２−２０１,ChIJeVP9ME7sGGARVSBxJJic0YA
東京,練馬区立平和台図書館,日本、〒179-0083 東京都練馬区平和台１丁目３６−１７,ChIJ9cihCeTsGGARgnt16HqDaB4
